6
1,2,2,H,1
1,4,3,H,2
0,4,2,V,3
3,5,3,H,4
1,1,3,H,5
5,1,2,V,6
1,0,3,H,7
4,3,2,V,8
0,3,3,H,9
4,0,3,V,10
0,0,3,V,11
6
1,2,2,H,1
5,0,2,V,12
2,5,3,H,13
4,2,2,H,14
0,0,3,V,15
0,3,2,H,16
3,0,2,H,17
4,3,2,V,18
3,2,3,V,19
1,0,2,H,20
1,1,2,H,21
1,4,2,H,22
3,1,2,H,23
6
1,2,2,H,1
3,0,2,H,23
4,5,2,H,24
1,3,3,H,25
0,0,3,V,26
3,2,2,H,27
0,5,3,H,28
2,4,3,H,29
5,1,3,V,30
2,1,3,H,31
0,4,2,H,32
6
1,2,2,H,1
2,4,3,H,32
2,5,3,H,33
3,0,2,V,34
1,3,2,V,35
5,3,2,V,36
0,2,2,V,37
4,1,2,V,38
1,1,2,H,39
5,0,3,V,40
0,0,2,H,41
2,3,3,H,42
0,5,2,H,43
6
1,2,2,H,1
2,5,3,H,44
1,1,2,H,45
3,4,2,H,46
2,0,3,H,47
4,1,2,H,48
1,4,2,V,49
5,2,2,V,50
1,3,2,H,51
3,3,2,H,52
0,0,3,V,53
3,2,2,H,54
0,3,2,V,55
6
1,2,2,H,1
4,2,3,V,55
3,0,3,V,56
4,0,2,H,57
0,1,2,H,58
5,2,2,V,59
0,3,2,H,60
1,0,2,H,61
2,5,3,H,62
1,4,2,H,63
5,4,2,V,64
3,3,2,V,65
4,1,2,H,66
6
1,2,2,H,1
5,2,2,V,67
3,0,3,V,68
4,2,3,V,69
0,0,3,H,70
2,5,3,H,71
0,1,3,V,72
1,4,3,H,73
5,0,2,V,74
1,3,3,H,75
1,1,2,H,76
6
1,2,2,H,1
4,4,2,H,77
4,2,2,H,78
1,4,2,V,79
3,0,3,H,80
0,0,2,V,81
3,1,3,V,82
0,2,3,V,83
3,4,2,V,84
1,1,2,H,85
6
1,2,2,H,1
5,1,3,V,85
4,0,2,H,86
0,5,2,H,87
2,3,2,V,88
3,2,2,H,89
0,3,2,V,90
0,0,3,V,91
1,0,3,H,92
3,4,3,H,93
3,5,3,H,94
3,1,2,H,95
6
1,2,2,H,1
4,5,2,H,96
5,0,2,V,97
0,1,3,V,98
4,2,2,V,99
2,4,2,H,100
0,5,2,H,101
3,2,2,V,102
1,0,3,H,103
5,2,3,V,104
2,1,3,H,105
1,3,2,V,106
2,5,2,H,107
6
1,2,2,H,1
4,2,2,H,108
3,0,3,V,109
2,3,3,H,110
1,5,2,H,111
4,0,2,H,112
0,3,2,H,113
0,0,3,V,114
1,4,3,H,115
3,5,3,H,116
5,3,2,V,117
6
1,2,2,H,1
4,2,3,V,117
2,0,3,H,118
2,5,3,H,119
1,4,2,H,120
0,1,3,V,121
5,2,3,V,122
3,3,2,V,123
3,1,2,V,124
0,4,2,V,125
6
1,2,2,H,1
4,4,2,V,125
0,3,2,V,126
0,0,3,H,127
4,1,3,V,128
1,3,3,H,129
5,2,2,V,130
3,0,3,V,131
0,1,3,H,132
0,5,3,H,133
1,4,3,H,134
6
1,2,2,H,1
4,4,2,H,135
5,1,3,V,136
3,2,2,H,137
0,2,3,V,138
1,3,3,H,139
3,5,3,H,140
1,4,2,H,141
1,1,2,H,142
3,0,2,V,143
0,5,3,H,144
0,0,3,H,145
4,0,2,V,146
