6
1,2,2,H,1
5,0,3,V,2
1,4,2,V,3
0,1,3,V,4
3,0,3,V,5
4,0,3,V,6
3,4,3,H,7
2,3,2,V,8
4,3,2,H,9
2,0,2,V,10
3,5,2,H,11
0,0,2,H,12
6
1,2,2,H,1
3,0,3,V,12
3,5,2,H,13
4,1,3,V,14
1,3,3,H,15
1,0,2,H,16
1,5,2,H,17
5,1,2,V,18
0,4,2,V,19
0,0,2,V,20
5,4,2,V,21
3,4,2,H,22
4,0,2,H,23
6
1,2,2,H,1
2,1,3,H,24
3,5,3,H,25
0,2,3,V,26
1,4,3,H,27
3,3,3,H,28
5,0,3,V,29
1,5,2,H,30
0,0,3,H,31
4,4,2,H,32
1,3,2,H,33
6
1,2,2,H,1
3,0,3,V,33
1,5,3,H,34
5,2,2,V,35
4,1,3,V,36
0,3,3,H,37
3,3,2,V,38
0,4,2,V,39
1,0,2,H,40
0,1,3,H,41
4,5,2,H,42
6
1,2,2,H,1
1,4,2,V,42
2,1,3,H,43
4,5,2,H,44
0,3,2,V,45
5,0,3,V,46
3,0,2,H,47
2,3,2,H,48
2,4,3,H,49
0,0,3,H,50
3,2,2,H,51
2,5,2,H,52
6
1,2,2,H,1
0,1,3,V,52
2,5,3,H,53
1,4,3,H,54
4,1,3,V,55
4,0,2,H,56
1,3,3,H,57
1,1,3,H,58
1,0,2,H,59
5,1,3,V,60
5,4,2,V,61
6
1,2,2,H,1
3,3,2,V,62
2,3,2,V,63
2,5,3,H,64
5,2,3,V,65
0,1,3,V,66
3,0,3,V,67
4,0,2,H,68
0,0,3,H,69
4,1,3,V,70
1,4,2,V,71
1,1,2,H,72
0,4,2,V,73
