6
1,2,2,H,1
5,2,2,V,2
0,3,2,H,3
3,1,3,V,4
3,5,2,H,5
0,5,3,H,6
0,4,2,H,7
4,3,2,V,8
1,0,2,V,9
2,3,2,V,10
4,1,2,H,11
4,0,2,H,12
0,0,3,V,13
6
1,2,2,H,1
3,0,2,V,14
2,4,2,V,15
0,0,2,V,16
2,3,3,H,17
3,4,2,V,18
4,1,2,H,19
1,3,2,V,20
4,4,2,V,21
5,2,3,V,22
1,0,2,V,23
0,2,3,V,24
4,0,2,H,25
6
1,2,2,H,1
5,0,3,V,25
2,5,3,H,26
1,0,3,H,27
1,4,2,H,28
0,2,2,V,29
5,4,2,V,30
4,1,3,V,31
1,1,2,H,32
0,4,2,V,33
1,3,3,H,34
3,1,2,V,35
6
1,2,2,H,1
3,3,2,H,36
3,4,3,H,37
4,5,2,H,38
4,2,2,H,39
4,1,2,H,40
0,5,2,H,41
0,0,3,V,42
3,0,3,V,43
0,3,3,H,44
0,4,2,H,45
2,0,2,V,46
1,0,2,V,47
2,4,2,V,48
