filename,iterations,moves,solved,H/V,types,dimension
board0.csv,74,4,yes,10:12,21:1:0:0:0,6
board1.csv,6435,7,yes,12:10,21:1:0:0:0,6
board10.csv,664,4,yes,13:9,21:1:0:0:0,6
board100.csv,96,4,yes,14:8,21:1:0:0:0,6
board101.csv,565,5,yes,11:11,21:1:0:0:0,6
board102.csv,2453,5,yes,9:13,21:1:0:0:0,6
board103.csv,80190,9,yes,12:10,21:1:0:0:0,6
board104.csv,223341,9,yes,8:14,21:1:0:0:0,6
board105.csv,17092,10,yes,11:11,21:1:0:0:0,6
board106.csv,417,5,yes,13:9,21:1:0:0:0,6
board107.csv,145,4,yes,9:13,21:1:0:0:0,6
board108.csv,1446,5,yes,10:12,21:1:0:0:0,6
board109.csv,37129,10,yes,11:11,21:1:0:0:0,6
board11.csv,3521,5,yes,11:11,21:1:0:0:0,6
board110.csv,146621,10,yes,9:13,21:1:0:0:0,6
board111.csv,1795,6,yes,12:10,21:1:0:0:0,6
board112.csv,485,4,yes,12:10,21:1:0:0:0,6
board113.csv,4079,5,yes,13:9,21:1:0:0:0,6
board114.csv,77,4,yes,15:7,21:1:0:0:0,6
board115.csv,25634,7,yes,12:10,21:1:0:0:0,6
board116.csv,226,4,yes,10:12,21:1:0:0:0,6
board117.csv,210,4,yes,12:10,21:1:0:0:0,6
board118.csv,2010,5,yes,12:10,21:1:0:0:0,6
board119.csv,794,4,yes,14:8,21:1:0:0:0,6
board12.csv,3094,5,yes,11:11,21:1:0:0:0,6
board120.csv,659,5,yes,12:10,21:1:0:0:0,6
board121.csv,7695,7,yes,7:15,21:1:0:0:0,6
board122.csv,4759,6,yes,15:7,21:1:0:0:0,6
board123.csv,94979,10,yes,10:12,21:1:0:0:0,6
board124.csv,107,4,yes,10:12,21:1:0:0:0,6
board125.csv,49,4,yes,10:12,21:1:0:0:0,6
board126.csv,3518,5,yes,14:8,21:1:0:0:0,6
board127.csv,4330,6,yes,8:14,21:1:0:0:0,6
board128.csv,479,5,yes,15:7,21:1:0:0:0,6
board129.csv,120,4,yes,9:13,21:1:0:0:0,6
board13.csv,835,4,yes,14:8,21:1:0:0:0,6
board130.csv,2205,5,yes,9:13,21:1:0:0:0,6
board131.csv,6323,6,yes,11:11,21:1:0:0:0,6
board132.csv,1202,6,yes,9:13,21:1:0:0:0,6
board133.csv,623,5,yes,12:10,21:1:0:0:0,6
board134.csv,605,5,yes,17:5,21:1:0:0:0,6
board135.csv,7251,6,yes,9:13,21:1:0:0:0,6
board136.csv,2649,6,yes,13:9,21:1:0:0:0,6
board137.csv,731,5,yes,13:9,21:1:0:0:0,6
board138.csv,4480,6,yes,13:9,21:1:0:0:0,6
board139.csv,3471,6,yes,7:15,21:1:0:0:0,6
board14.csv,10573,6,yes,10:12,21:1:0:0:0,6
board140.csv,148,4,yes,9:13,21:1:0:0:0,6
board141.csv,6733,6,yes,11:11,21:1:0:0:0,6
board142.csv,2265,5,yes,10:12,21:1:0:0:0,6
board143.csv,826,5,yes,8:14,21:1:0:0:0,6
board144.csv,7257,6,yes,13:9,21:1:0:0:0,6
board145.csv,658,5,yes,8:14,21:1:0:0:0,6
board146.csv,84,4,yes,8:14,21:1:0:0:0,6
board147.csv,155,4,yes,13:9,21:1:0:0:0,6
board148.csv,4450,5,yes,11:11,21:1:0:0:0,6
board149.csv,31714,7,yes,11:11,21:1:0:0:0,6
board15.csv,1443,5,yes,11:11,21:1:0:0:0,6
board150.csv,17354,7,yes,16:6,21:1:0:0:0,6
board151.csv,7911,6,yes,12:10,21:1:0:0:0,6
board152.csv,191,4,yes,14:8,21:1:0:0:0,6
board153.csv,441,5,yes,10:12,21:1:0:0:0,6
board154.csv,287,4,yes,11:11,21:1:0:0:0,6
board155.csv,485,4,yes,11:11,21:1:0:0:0,6
board156.csv,973,5,yes,12:10,21:1:0:0:0,6
board157.csv,2295,6,yes,10:12,21:1:0:0:0,6
board158.csv,14187,6,yes,7:15,21:1:0:0:0,6
board159.csv,166,4,yes,10:12,21:1:0:0:0,6
board16.csv,738,5,yes,13:9,21:1:0:0:0,6
board160.csv,129,4,yes,11:11,21:1:0:0:0,6
board161.csv,177,4,yes,10:12,21:1:0:0:0,6
board162.csv,6413,6,yes,9:13,21:1:0:0:0,6
board163.csv,456,4,yes,9:13,21:1:0:0:0,6
board164.csv,592,5,yes,13:9,21:1:0:0:0,6
board165.csv,722,5,yes,14:8,21:1:0:0:0,6
board166.csv,21951,7,yes,11:11,21:1:0:0:0,6
board167.csv,1003,5,yes,9:13,21:1:0:0:0,6
board168.csv,142,4,yes,12:10,21:1:0:0:0,6
board169.csv,2548,5,yes,12:10,21:1:0:0:0,6
board17.csv,3945,6,yes,13:9,21:1:0:0:0,6
board170.csv,28746,8,yes,13:9,21:1:0:0:0,6
board171.csv,432,5,yes,8:14,21:1:0:0:0,6
board172.csv,905,6,yes,10:12,21:1:0:0:0,6
board173.csv,390353,10,yes,11:11,21:1:0:0:0,6
board174.csv,13960,7,yes,11:11,21:1:0:0:0,6
